authorID,name,location,reviewCount,friendCount,photoCount
MO3LMWe_h7SrR8aTm9xuww,Hailey B.,"Yuma, AZ",90,210,30
wd3xoNaDLib8dhQ7BxUl6g,Stacey L.,"Madison, WI",1005,1649,1858
HUWPfofYNyttE2NqxAxJlQ,Belle L.,"Chicago, IL",871,94,2181
aKN3Fq2uaRJTwZRPlI5GcQ,Alex S.,"Chicago, IL",2408,4902,6891
Y9GWHeIMqRqS30I3bYBG8A,Shamaine W.,"Chicago, IL",60,174,561
PKRT0sPZnyMm-ALuEQ30dA,Linda B.,"Chicago, IL",258,72,553
MeIIBJC3lefCeQolzfCTkQ,Janine J.,"Chicago, IL",131,271,129
P_pk7ld02y4Cf7S-DOwIzw,Sandra T.,"Chicago, IL",294,309,312
R05ZRXWkYuEcvRGok5fiDA,Kevin Z.,"Minneapolis, MN",103,116,11
1I44dBR_BISMUv5MSRA-mA,Conrad S.,"Boulder, CO",236,97,37
BFr6Z705fZxztLM9siIuLQ,John H.,"Chicago, IL",183,52,0
8F8XwgVZV76bUKIh9cz_BA,Brett J.,"Lincoln Park, Chicago, IL",2,0,0
Y9p-LYYKa2aJe5zfTqzUfQ,Jessica K.,"Fort Worth, TX",10,91,1
1HpDyeQz__hIpJm2WFutkA,Melissa D.,"Near West Side, Chicago, IL",17,133,33
vnAT6jZjXezToEtY31TtYQ,Samantha M.,"Chicago, IL",3,77,4
FiZn-x6ZSoKyeskbxpvE1w,Emma B.,"Chicago, IL",121,24,181
opaTZcjPDVmEMq2MSvD_cA,Nick C.,"Lakeview, Chicago, IL",19,6,1
xqCDTnK6zGMPSW2YCoYP_w,Kristina B.,"Novi, MI",56,1,16
v7sqBaOloWgYX64pekWOAw,Sara L.,"Chicago, IL",166,81,172
I8mfczria5yISiy6wTVJ7Q,Valerie F.,"Chicago, IL",104,28,54
1m4Hmm7IbgGjVupM7CQSMw,Nikki M.,"San Francisco, CA",1072,640,386
BUtRLUQPcknGA2P3Cij7jw,Selina H.,"Glenview, IL",24,101,2
xj4kmVaAsLVr5o_6WYj5LA,Cathy M.,"Anaheim, CA",1189,304,1234
GmQR50bIII7gDNRYEgfXfA,Tiffany H.,"Indianapolis, IN",1151,783,2843
AbMjnKOwg736fcIu8apuyQ,Michael S.,"Vancouver, WA",2281,4670,19723
Wg9XvfHw-8hk3PQsovxHFw,Aanchal B.,"Palatine, IL",55,181,76
uzb2jxTuLTYCk-EH2U-OBg,Angelo R.,"Miami, FL",492,822,4320
5S2opptngW2QB_gP-AsQEg,Keisha H.,"Chicago, IL",168,161,476
4jPsIgMZT4_Ks5-myaW9Bg,Edna C.,"San Francisco, CA",907,933,2896
nuaJLyZGAsKj9dzDmAW2Cw,Ross H.,"New York, NY",104,314,421
GIK3ZeadxsC23viJZXq3Mg,Abisai H.,"Miami, FL",169,700,699
Mm3dizKXCm3pow3wRmMbtw,Rebecca M.,"Denver, CO",172,69,73
91Htkq3p93uSQasm_fQ75A,Paulina N.,"Chicago, IL",55,47,67
MO3LMWe_h7SrR8aTm9xuww,Hailey B.,"Yuma, AZ",90,210,30
RO3vznPVVw5NWcgfP3k17A,Aimee M.,"Chicago, IL",1214,434,160
X96uthxccrPCyh5ZTmSb3A,Erica K.,"San Antonio, TX",200,366,302
KqYPw_V3OFNcoU9lhSeA5w,Phillip C.,"Milwaukee, WI",96,147,10
1XoZwDi4GSjUo-fhKLl5pg,Maureen R.,"San Francisco, CA",4,0,0
prsn217QB2VNLNrDvcIyYg,Heidy I.,"Miami, FL",31,7,106
but2s3yQA5LokHGCaVXHVg,Melinda L.,"Los Angeles, CA",91,440,252
3rIZHiM6DHpzL7ct4t5fCQ,Samantha O.,"Chicago, IL",49,109,7
sjN4iL2EIk3EwtZAnPas6Q,David C.,"Chicago, IL",67,1,38
wdqkuTAmtWMKJKoo-5P4sQ,Mary H.,"Angola, IN",51,6,4
qayAHD5or8w6IuF_H_oocw,Lynn S.,"Evanston, IL",15,127,80
WTiHNJCOOGI_NvYrHa2RyQ,Jean J.,"Chicago, IL",57,158,88
7_sAC8to4trq1T6jI8izVA,Sharita R.,"Romeoville, IL",224,121,416
DLB8lVPf4L0Vm4VzgcGOXQ,Karen L.,"El Monte, CA",313,261,225
zgwPUwhrI1sMsLHXiCV5GA,Sam A.,"San Francisco, CA",160,75,41
h9twp8FZWv2q8oPrKX2Cag,Mark M.,"Chicago, IL",152,2,39
p-msCr6nqIDb0Fh-J_ecyQ,Vaibhav V.,"Irvine, CA",111,380,0
scltsETi6zwbFuV7Dbpgdg,Alex G.,"Streamwood, IL",138,37,5
9EolExE4IjJsBxHiS_pNSA,Ara H.,"Chicago, IL",141,11,0
xdHM5YCDlHVFTPOPWESwMw,Karen Q.,"Chicago, IL",255,57,426
WT0D58Wglj8ydl6OkJhlkg,Harish V.,"Englewood, CO",230,144,1155
nqxX82HuAIDk6KTjK2HRLw,Aileen L.,"San Francisco, CA",36,216,145
UDrVdIeUNnmBT3__dJchCw,Rachel L.,"Chicago, IL",228,65,47
xr8imLe7dY9ebV2PBsCVxg,Cynthia R.,"Chicago, IL",271,111,3
D4C_M_i6lz7tWurRUaO-XA,Ashley N.,"New York, NY",238,332,433
iRwVOc-Q1DW1tT0MuTK4kQ,Hannah L.,"Chicago, IL",216,57,300
