restaurantID,name,location,reviewcount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber
6WE3zP14Azd0xM6Hk7C8Pw,Farmhouse Chicago,"228 W Chicago Ave Chicago, IL 60654 Neighbourhood: Near North Side",1101,4.0,"American (Traditional),
                    Bars","228 W Chicago AveChicago, IL 60654",Mon 11:00 am - 12:00 am Tue 11:00 am - 12:00 am Wed 11:00 am - 12:00 am Thu 11:00 am - 12:00 am Fri 11:00 am - 1:00 am Sat 10:00 am - 1:00 am Sun 10:00 am - 11:00 pm ,No,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Null,Yes,Free,Dinner,Full Bar,Average,Casual,Yes,No,Null,farmhousechicago.com,(312) 280-4960
B_04jjMZjeGGKjaPcR3Kig,Three Dots and a Dash,"435 N Clark St Back alley on Hubbard St Chicago, IL 60654 Neighbourhood: Near North Side",2203,4.0,"Asian Fusion,
                    Tiki Bars","435 N Clark StChicago, IL 60654",Mon 4:00 pm - 2:00 am Tue 4:00 pm - 2:00 am Wed 4:00 pm - 2:00 am Thu 4:00 pm - 2:00 am Fri 4:00 pm - 2:00 am Sat 2:00 pm - 3:00 am Sun 4:00 pm - 2:00 am ,No,Yes,"Valet, Garage, Street",Casual,Yes,$11-30,Yes,No,No,Null,No,Free,Late Night,Full Bar,Loud,Trendy,No,Yes,Null,threedotschicago.com,(312) 610-4220
apyIymDFbUK7u-Y3V5kmkA,Bavette’s Bar & Boeuf,"218 W Kinzie St Chicago, IL 60654 Neighbourhood: River North, Near North Side",1821,4.5,"Steakhouses,
                    Seafood,
                    Bars","218 W Kinzie StChicago, IL 60654",Mon 5:00 pm - 11:00 pm Tue 5:00 pm - 11:00 pm Wed 5:00 pm - 11:00 pm Thu 5:00 pm - 11:00 pm Fri 5:00 pm - 12:00 am Sat 5:00 pm - 12:00 am Sun 5:00 pm - 10:00 pm ,No,Yes,"Valet, Street",Dressy,Yes,$31-60,Yes,No,No,Null,No,No,Dinner,Full Bar,Average,Classy,No,No,Null,bavetteschicago.com,(312) 624-8154
LaYrGWnZazWsc3xi1sTYfw,Arbella,"112 W Grand Ave Chicago, IL 60654 Neighbourhood: River North, Near North Side",215,4.5,"Tapas/Small Plates,
                    Cocktail Bars,
                    Burgers","112 W Grand AveChicago, IL 60654",Mon 5:00 pm - 12:00 am Tue 5:00 pm - 2:00 am Wed 5:00 pm - 2:00 am Thu 5:00 pm - 2:00 am Fri 5:00 pm - 2:00 am Sat 5:00 pm - 3:00 am Sun Closed ,No,Yes,Valet,Casual,Yes,$11-30,Yes,No,No,Yes,No,Free,"Dinner, Late Night",Full Bar,Average,Trendy,Yes,No,No,arbellachicago.com,(312) 846-6654
Leed_L3l2U8tKBdJwj8CyQ,True Food Kitchen,"1 W Erie St Chicago, IL 60654 Neighbourhood: Near North Side",386,4.5,American (New),"1 W Erie StChicago, IL 60654",Mon 11:00 am - 10:00 pm Tue 11:00 am - 10:00 pm Wed 11:00 am - 10:00 pm Thu 11:00 am - 10:00 pm Fri 11:00 am - 11:00 pm Sat 10:00 am - 11:00 pm Sun 10:00 am - 9:00 pm ,Yes,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Yes,Yes,No,"Brunch, Lunch, Dinner",Full Bar,Average,"Casual, Trendy",No,No,Yes,truefoodkitchenchicago.com,(312) 204-6981
ziIfrqtyupmeNlPAOx6jTw,Quartino Ristorante,"626 N State St Chicago, IL 60654 Neighbourhood: Near North Side",3878,4.0,"Italian,
                    Wine Bars","626 N State StChicago, IL 60654",Mon 11:30 am - 2:00 am Tue 11:30 am - 2:00 am Wed 11:30 am - 2:00 am Thu 11:30 am - 2:00 am Fri 11:30 am - 2:00 am Sat 11:30 am - 3:00 am Sun 11:30 am - 1:00 am ,Yes,Yes,Valet,Casual,Yes,$11-30,Yes,No,Yes,Null,Yes,No,Dinner,Full Bar,Loud,Casual,Yes,Yes,Null,quartinochicago.com,(312) 698-5000
LaYrGWnZazWsc3xi1sTYfw,Arbella,"112 W Grand Ave Chicago, IL 60654 Neighbourhood: River North, Near North Side",215,4.5,"Tapas/Small Plates,
                    Cocktail Bars,
                    Burgers","112 W Grand AveChicago, IL 60654",Mon 5:00 pm - 12:00 am Tue 5:00 pm - 2:00 am Wed 5:00 pm - 2:00 am Thu 5:00 pm - 2:00 am Fri 5:00 pm - 2:00 am Sat 5:00 pm - 3:00 am Sun Closed ,No,Yes,Valet,Casual,Yes,$11-30,Yes,No,No,Yes,No,Free,"Dinner, Late Night",Full Bar,Average,Trendy,Yes,No,No,arbellachicago.com,(312) 846-6654
TC8tG6To87DUzC365njvXw,River Roast,"315 N La Salle Dr Chicago, IL 60654 Neighbourhood: River North, Near North Side",647,4.0,"American (Traditional),
                    Gastropubs","315 N La Salle DrChicago, IL 60654",Mon 11:30 am - 10:00 pm Tue 11:30 am - 10:00 pm Wed 11:30 am - 10:00 pm Thu 11:30 am - 10:00 pm Fri 11:30 am - 11:00 pm Sat 11:00 am - 11:00 pm Sun 11:00 am - 9:00 pm ,Yes,Yes,Valet,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,Yes,Free,Dinner,Full Bar,Average,Casual,Yes,Yes,Yes,RiverRoastChicago.com,(312) 822-0100
Vw-Qn1Hg06h4yBUdDQCXyA,Sushi-San,"63 W Grand Ave Chicago, IL 60654 Neighbourhood: Near North Side",74,4.0,Sushi Bars,"63 W Grand AveChicago, IL 60654",Mon 4:00 pm - 12:00 am Tue 4:00 pm - 12:00 am Wed 4:00 pm - 12:00 am Thu 4:00 pm - 12:00 am Fri 4:00 pm - 1:00 am Sat 4:00 pm - 1:00 am Sun 4:00 pm - 12:00 am ,No,Yes,Street,Casual,Yes,$11-30,Yes,Yes,Yes,Yes,No,Free,Dinner,Full Bar,Average,Casual,No,No,Null,sushisanrestaurant.com,(312) 828-0575
Leed_L3l2U8tKBdJwj8CyQ,True Food Kitchen,"1 W Erie St Chicago, IL 60654 Neighbourhood: Near North Side",386,4.5,American (New),"1 W Erie StChicago, IL 60654",Mon 11:00 am - 10:00 pm Tue 11:00 am - 10:00 pm Wed 11:00 am - 10:00 pm Thu 11:00 am - 10:00 pm Fri 11:00 am - 11:00 pm Sat 10:00 am - 11:00 pm Sun 10:00 am - 9:00 pm ,Yes,Yes,Street,Casual,Yes,$11-30,Yes,No,Yes,Yes,Yes,No,"Brunch, Lunch, Dinner",Full Bar,Average,"Casual, Trendy",No,No,Yes,truefoodkitchenchicago.com,(312) 204-6981
