reviewID,businessID,reviewerID,date,reviewContent,rating,usefulCount,coolCount,funnyCount
ErZAqg2YEEAsPP-faPKxZQ,6WE3zP14Azd0xM6Hk7C8Pw,MO3LMWe_h7SrR8aTm9xuww,3/3/2018,Best cheese curds in Chicago!! I love this little hole in the wall. The food is good the staff is fun the drinks are amazing. This is a good neighborhood lunch spot or dinner spot. I hear the brunch is fun. I have to still try it out.,5.0,0,0,0
7XlBE5-O8rZ9t0V-VrGPNA,6WE3zP14Azd0xM6Hk7C8Pw,wd3xoNaDLib8dhQ7BxUl6g,3/1/2018,"Come hungry! I joined a couple of coworkers at Farmhouse for a Sunday night dinner earlier this winter and I think I'm still full. The restaurant itself is cozy, servers were flannel-clad, and our server in particular was a sweetheart. She was genuinely jazzed about the menu and their farm-to-table approach.We started with a round of cheese curds, and this Wisconsin girl approves. They're my preferred style of battered instead of breaded. Melty, chewy, delicious all around. For my entree I chose the Roasted Half Chicken, in part because it comes with glazed Brussels sprouts, carrots, and parsnips on a bed of mashed potatoes. No problem eating all my veggies with that combo! The chicken was moist and tender and a large portion, even for a half chicken. I felt bad leaving so much on my plate, but there was just no way I was going to finish in one sitting. Prices were a little high, but not ridiculous for the quality and quantity. The fare is similar to what my hometown excels at, so I don't know if Farmhouse would be at the top of my list on the next visit, but I also wouldn't be upset if someone suggested it.",4.0,5,4,2
kuqCuVut9fAnKB6zxrJViQ,6WE3zP14Azd0xM6Hk7C8Pw,HUWPfofYNyttE2NqxAxJlQ,2/24/2018,"EAT and ENJOY in moderation!  :-) I hope CHILDREN'S MENU is still available as it was an excellent portion and value.My 3 item BRUNCH was an easy $30:. STEAK & EGGS had perfect temp, crunchy yet soft BREAKFAST POTATOES, so-so eggs as I wasn't asked.  Worthy $3 Bottomless SPARROW COFFEE was necessary when chatting.  Austin sold the smooth and boozy $9 HONEY MIMOSA (pretty color).Chilax SERVICE from Austin.  Quick cleanup.  Charming super tall classy HOSTESS.",4.0,3,3,3
nNeL6SHzczPAvcq4qpD8iQ,6WE3zP14Azd0xM6Hk7C8Pw,aKN3Fq2uaRJTwZRPlI5GcQ,12/11/2017,"Farmhouse is one of those spots you should check out in Chicago.It's quiet, small, and delicious. Make a reservation as it is always, always busy here, especially at dinner and then sit back and enjoy.It's all fresh food with a farm-to-table feel. Not everything is a winner, but the things that are, like the cheese curds or the duck schnitzel, are damn to die for. The menu rotates often so what is on there today may mot be on there tomorrow. It is, I think, a tad bit overpriced. Whenever I go, I am always a little shocked by the cost. But, it is a lot of food and delicious food, so you do get what you pay for. I just know if it was even a little bit cheaper, I'd be there more often.However, they clearly don't need me there all the time, as I mentioned, they're packed. And once you go, you will see why.",4.0,19,18,5
N3DlHzSKx5Im1d2BG2rKBQ,6WE3zP14Azd0xM6Hk7C8Pw,Y9GWHeIMqRqS30I3bYBG8A,12/4/2017,"I really love the food at this restaurant. It's great portion sizes although I do feel that it's a little overpriced...The staff are always friendly here though and the cheese curds should not be missed! They're the best thing on the menu.I've been a few times and on my last visit I really enjoyed the roasted squash, the pretzel and the schnitzel duck breast. The half chicken was ok but not as flavourful as some of the other dishes and the dips are sometimes a little too salty for me. But my husband seemed to enjoy it.It's also right next to the L so it's super easy to get to!Enjoy!",4.0,2,2,0
9eyhc3-zGP5K5myc8dIGLw,6WE3zP14Azd0xM6Hk7C8Pw,PKRT0sPZnyMm-ALuEQ30dA,11/2/2017,"The flatbread was wonderful.  With leeks and squash and other veggies, I was surprised by how tasty it was, and really, that's why I'm keeping the four-star review.  The beef short rib mac and cheese also was pretty good  (and I guess cauliflower is in season because it showed up in the mac and cheese!), but it could've used more salt.The burger was fine, though not as good as I remembered, and the ivory char was a let down.  It looked beautiful but tasted very meh.  Service was slightly below average too.  I'd come back but I am definitely less enthusiastic about Farmhouse.",4.0,5,3,2
Yw1VtemDaLYNlj1x0DXWfA,6WE3zP14Azd0xM6Hk7C8Pw,MeIIBJC3lefCeQolzfCTkQ,10/14/2017,"This is a super accessible restaurant with the Franklin L stop right across the street. The concept of farm to table is one that I love, and the inside of the restaurant had a rustic feel to it. I ordered the farmers breakfast, and it came out super fast! The peach jam that went along with the toast was the best part of the meal, and the potatoes were so good! Service was so attentive, and prices were overall reasonable (although looking at the drinks seemed to be a little pricy). One thing I will not is that I tried to get coffee, but they only had whole milk as creamer. It would be appreciated if there was soy milk, or even almond milk available!",4.0,1,0,0
GM3lbXavoFi7FfqE4iHOBg,6WE3zP14Azd0xM6Hk7C8Pw,P_pk7ld02y4Cf7S-DOwIzw,9/23/2017,"I had soup and salad. Loved the soup, but the salad was just ok. I feel these two small plates are overpriced. I sat outside with my niece's dog (dog sitting) so not sure about the inside. I can't recall any music playing, so it was not pleasant, don't recommend sitting out there. The ground was gross. I could have been in a negative mood, though. The people in the area are pretty snobby.",3.0,6,5,3
CEXyjqKDNejDzZUw666cdA,6WE3zP14Azd0xM6Hk7C8Pw,R05ZRXWkYuEcvRGok5fiDA,11/15/2017,"YUM YUM YUM YUM YUM YUM YUM! Went here for a late brunch on a chilly Chicago weekend. It fit the bill when looking for a solid farmhouse breakfast. Traditional fare done right! I sat at the bar and was promptly greeted by the bartender. He sold me on a rose mimosa. Where have you been all my life, precious? So good! I had the traditional breakfast... scrambled eggs, their house potatoes, sausage and sourdough. Hearty portions for Chicago .... being a midwestern boy, I appreciate that. Check it out. I was a tad disappointed it wasn't more busy, but maybe that is a good thing. We will keep it our little secret.",5.0,2,1,1
HaIMlC1_58g2ILBAokTK5Q,6WE3zP14Azd0xM6Hk7C8Pw,1I44dBR_BISMUv5MSRA-mA,11/19/2017,The pork chop is to die for. It's Smokey and amazing. There is a large selection of craft beers to drink and great classic cocktails. We had a salad that was pretty good. It was nothing special. We also ordered the fries with garlic mayo and the duck schnitzel. Both were good. We also had the Brussel sprouts they were browned and quite nice. Overall everything else took a back seat to the pork chop. It's work to note they were out of their pork and Mac and cheese dish which was a bit of a bummer. It seems like it may be the most popular dish.,4.0,0,0,0
